iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message,initial_balance,intermediate_balance,final_balance,balance_change,signature_match,slot_info
1,2025-07-23T17:33:34.396441Z,ORIGINAL_SEND,RPC_ERROR,,CRdykefZ8R4Bk1wnWEk7nCFzet4wSkfp8tzbqQfg9y4d,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393859,5.393859,5.393859,0.0,N/A,
2,2025-07-23T17:33:51.499229Z,ORIGINAL_SEND,RPC_ERROR,,DwivpRArp9GoFCGXnRyJSUbTFvVPXw3j1UoQtR26SKTz,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393859,5.393859,5.393859,0.0,N/A,
3,2025-07-23T17:34:11.558908Z,ORIGINAL_SEND,SUCCESS,66yLhNpwMksTqXmS4g8a7NX1SR4Fmqha6a2QVpAqxhfBuuf49VY6uwghbLMg4Q9PveUb6nGvoJte5Y6GeVhp7AZZ,2aSmpu7bDSygwutpkbSzvVy81kzw3Q8P95VEVwrEAeGm,,5.393859,5.393859,5.393859,0.0,N/A,
3,2025-07-23T17:34:17.912262Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,2aSmpu7bDSygwutpkbSzvVy81kzw3Q8P95VEVwrEAeGm,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393859,5.393859,5.393859,0.0,N/A,
3,2025-07-23T17:34:24.564000Z,EXPIRED_REPLAY_DETERMINISTIC,EXPIRED_REJECTED_OTHER,,2aSmpu7bDSygwutpkbSzvVy81kzw3Q8P95VEVwrEAeGm,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393844,5.393844,5.393844,0.0,N/A,"current_slot:396294135, last_valid:384248184"
3,2025-07-23T17:34:25.485653Z,CROSS_NETWORK_DEVNET_TO_TESTNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,2aSmpu7bDSygwutpkbSzvVy81kzw3Q8P95VEVwrEAeGm,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.0,5.0,5.0,0,N/A,"source:Devnet, target:Testnet"
3,2025-07-23T17:34:31.527953Z,CROSS_NETWORK_TESTNET_TO_DEVNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,GYnve7RmAPhKjLqGrKzSgif2yh5NyVS84diu2xWYK9GC,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393844,5.393844,5.393844,0,N/A,"source:Testnet, target:Devnet"
4,2025-07-23T17:34:48.422980Z,ORIGINAL_SEND,RPC_ERROR,,6gTRTAY2o1hWYdRU4iMnsjLhHFoUxTFC8K2yYxdziyVA,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393844,5.393844,5.393844,0.0,N/A,
5,2025-07-23T17:35:08.701857Z,ORIGINAL_SEND,SUCCESS,5ucok1Jg6kqczkD6LCj6f8dHqyiDPJ8qBXhZvqYey9dSoy8GcKHtWoig4fDn7bXLjt5hsmALN8JHFQhg62yh5gjm,D3AqLjPpQ18rYtzHyhsjWCPeeGWqiVamjLxq9fzzV3pL,,5.393844,5.393844,5.393844,0.0,N/A,
5,2025-07-23T17:35:15.048358Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,D3AqLjPpQ18rYtzHyhsjWCPeeGWqiVamjLxq9fzzV3pL,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.393844,5.393844,5.393844,0.0,N/A,
