iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message,initial_balance,intermediate_balance,final_balance,balance_change,signature_match,slot_info
1,2025-07-25T07:10:07.420659Z,ORIGINAL_SEND,RPC_ERROR,,5EyT5c9buuRvGMjMhbzQKapvt85joftFMgCKTd8fGAcU,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386089,5.386089,5.386089,0.0,N/A,
2,2025-07-25T07:10:24.198326Z,ORIGINAL_SEND,RPC_ERROR,,EN94QpbtpHLdQNPPVdftNrdPNmSjFXrfxdHtnAZy1YcK,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386089,5.386089,5.386089,0.0,N/A,
3,2025-07-25T07:10:44.409255Z,ORIGINAL_SEND,SUCCESS,2sDLat59TKBxXKrGSKnrSxknLaStSNBRJDgCCe1q3SMgrG1CYpSQXyYWoZxjQcJbrddYkdo2p8QkLyRDw6BNskV1,6dcfygqHB1p7wCsZ2zLHLz7vhyF7tUUu9rRDdnWWkoMT,,5.386089,5.386089,5.386089,0.0,N/A,
3,2025-07-25T07:10:50.900853Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,6dcfygqHB1p7wCsZ2zLHLz7vhyF7tUUu9rRDdnWWkoMT,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386089,5.386089,5.386089,0.0,N/A,
3,2025-07-25T07:10:58.265714Z,EXPIRED_REPLAY_DETERMINISTIC,EXPIRED_REJECTED_OTHER,,6dcfygqHB1p7wCsZ2zLHLz7vhyF7tUUu9rRDdnWWkoMT,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386074,5.386074,5.386074,0.0,N/A,"current_slot:396641019, last_valid:384594786"
3,2025-07-25T07:10:59.723172Z,CROSS_NETWORK_DEVNET_TO_TESTNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,6dcfygqHB1p7wCsZ2zLHLz7vhyF7tUUu9rRDdnWWkoMT,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.0,5.0,5.0,0,N/A,"source:Devnet, target:Testnet"
3,2025-07-25T07:11:05.984537Z,CROSS_NETWORK_TESTNET_TO_DEVNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,5rcB2VRPnyGTEfWvbaUVkUVUSLTYAGW8MwpJyEgY3Ued,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386074,5.386074,5.386074,0,N/A,"source:Testnet, target:Devnet"
4,2025-07-25T07:11:22.939774Z,ORIGINAL_SEND,RPC_ERROR,,EwhQNiKu8NxwEJE5fMEtmvWsJ5xWdw64MdqL3nrkwbKm,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386074,5.386074,5.386074,0.0,N/A,
5,2025-07-25T07:11:43.263035Z,ORIGINAL_SEND,SUCCESS,2cjfqLWXSWycBd7dUCCY1qPGzFNPhxqtcBWRMWJ8PfigX9hyqnNHak5dkZBiiPaptyW2z4uv28eh5N9XnwEuWpaE,CY9pP2qYifNqWQ7nZpqr8xf9bHJQx4ArDSkMTSPTmLf6,,5.386074,5.386074,5.386074,0.0,N/A,
5,2025-07-25T07:11:49.903341Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,CY9pP2qYifNqWQ7nZpqr8xf9bHJQx4ArDSkMTSPTmLf6,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.386074,5.386074,5.386074,0.0,N/A,
