timestamp_utc,run_id,task_id,submission_status,returned_signature,submission_response,submission_timing_ms
2025-08-04T05:21:04.886730Z,20250804_052103,1,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8832.61
2025-08-04T05:21:04.886906Z,20250804_052103,2,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8816.39
2025-08-04T05:21:04.886997Z,20250804_052103,3,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8804.17
2025-08-04T05:21:04.887084Z,20250804_052103,4,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8801.14
2025-08-04T05:21:04.887156Z,20250804_052103,5,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8781.62
2025-08-04T05:21:04.888954Z,20250804_052103,6,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8773.34
2025-08-04T05:21:04.889094Z,20250804_052103,7,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8770.19
2025-08-04T05:21:04.889147Z,20250804_052103,8,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8754.76
2025-08-04T05:21:04.889221Z,20250804_052103,9,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8751.29
2025-08-04T05:21:04.889266Z,20250804_052103,10,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8749.3
2025-08-04T05:21:04.889327Z,20250804_052103,11,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8724.91
2025-08-04T05:21:04.889394Z,20250804_052103,12,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8697.55
2025-08-04T05:21:04.889485Z,20250804_052103,13,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8773.51
2025-08-04T05:21:04.889557Z,20250804_052103,14,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8767.89
2025-08-04T05:21:04.889634Z,20250804_052103,15,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8795.39
2025-08-04T05:21:04.889694Z,20250804_052103,16,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8790.7
2025-08-04T05:21:04.889750Z,20250804_052103,17,UNEXPECTED_ERROR,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,,0
2025-08-04T05:21:04.889831Z,20250804_052103,18,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8755.11
2025-08-04T05:21:04.889888Z,20250804_052103,19,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8752.27
2025-08-04T05:21:04.889960Z,20250804_052103,20,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8751.96
2025-08-04T05:21:04.890005Z,20250804_052103,21,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8753.78
2025-08-04T05:21:04.890066Z,20250804_052103,22,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8751.27
2025-08-04T05:21:04.890112Z,20250804_052103,23,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8734.1
2025-08-04T05:21:04.890156Z,20250804_052103,24,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8749.0
2025-08-04T05:21:04.890209Z,20250804_052103,25,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8731.33
2025-08-04T05:21:04.890267Z,20250804_052103,26,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8744.4
2025-08-04T05:21:04.890323Z,20250804_052103,27,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8754.52
2025-08-04T05:21:04.890389Z,20250804_052103,28,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8756.83
2025-08-04T05:21:04.890453Z,20250804_052103,29,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8760.94
2025-08-04T05:21:04.890517Z,20250804_052103,30,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8709.88
2025-08-04T05:21:04.890563Z,20250804_052103,31,ACCEPTED,7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,RPC accepted: 7Nj5tH4fYApSR8NiE5APbRhY57Koy4iiFp9R5GreJR9iE7N3YrUnUdkHUeMcfGVnJtxi8XQNKhtE2gYMGMWnnW3,8873.43
