iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message
1,2025-07-10T07:03:54.505910Z,ORIGINAL_SEND,RPC_ERROR,,CH8kC5zzmudcAs6d1YX81dsyU4vYUnkvzTQgiF6Pkqp3,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
2,2025-07-10T07:04:05.502393Z,ORIGINAL_SEND,RPC_ERROR,,3zx7vutmptwoNf6MLiDKCTGrG3Wxe2Qf2w1seT8b83Yd,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T07:04:18.893516Z,ORIGINAL_SEND,SUCCESS,5NuZSJ4H8UaJYXUUBAphqDP51UG8ZL8bSZbedm6TwC8ab3ScHV15VXSpCvxmhD4B4hyZfr1aeiDKJNgWun167Q6g,FVuGSw6LDhRBoWnnq6vuC5rsH5NxGkk27fqa98MPx3BK,
3,2025-07-10T07:04:24.608394Z,IMMEDIATE_REPLAY,RPC_ERROR,,FVuGSw6LDhRBoWnnq6vuC5rsH5NxGkk27fqa98MPx3BK,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T07:06:06.087251Z,EXPIRED_REPLAY,RPC_ERROR,,FVuGSw6LDhRBoWnnq6vuC5rsH5NxGkk27fqa98MPx3BK,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T07:06:06.330527Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,FVuGSw6LDhRBoWnnq6vuC5rsH5NxGkk27fqa98MPx3BK,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
4,2025-07-10T07:06:17.738582Z,ORIGINAL_SEND,RPC_ERROR,,DvGwvWFTkd42ZZKy2YiVKqA1DcqNLtTnCqjr2XaxTqje,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T07:06:30.167169Z,ORIGINAL_SEND,SUCCESS,4eQpRGPMdYSPxSCRcG43KUJ9kB9gaWQgkb3jymz9CBx8pnMH7Rxyu8Ar7FCPTBJ4Fm9mLTjsnHcd4nupUtiCQaKa,3N5REDH5Mb6NcJaBeNWznVSSvHeGKSerHseENX16iv7u,
5,2025-07-10T07:06:35.954890Z,IMMEDIATE_REPLAY,RPC_ERROR,,3N5REDH5Mb6NcJaBeNWznVSSvHeGKSerHseENX16iv7u,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T07:08:16.625249Z,EXPIRED_REPLAY,RPC_ERROR,,3N5REDH5Mb6NcJaBeNWznVSSvHeGKSerHseENX16iv7u,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T07:08:16.842778Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,3N5REDH5Mb6NcJaBeNWznVSSvHeGKSerHseENX16iv7u,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
6,2025-07-10T07:08:27.864122Z,ORIGINAL_SEND,RPC_ERROR,,682TjbnWsXU5JYXJpXSWE3q2X5FQJUQ4ydfwmXuRDFaF,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
7,2025-07-10T07:08:38.830534Z,ORIGINAL_SEND,RPC_ERROR,,9gCBYEWiP2RhRJ1xCbfnnp6yhCM58HZqDssFCKbbu2V6,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
8,2025-07-10T07:08:51.032342Z,ORIGINAL_SEND,SUCCESS,4ZXdowvUfMcn8sGb1QAZoorPh8ErhM1oB9h5dQUsGK2oR5ed38bSugDPAMtWFutSA7kotCDEnBzUMzELQCuwpn6M,FD71kdi8GZdWz8jMEiXgH7iocN1quh8kJ1skWWADqxMU,
8,2025-07-10T07:08:56.937986Z,IMMEDIATE_REPLAY,RPC_ERROR,,FD71kdi8GZdWz8jMEiXgH7iocN1quh8kJ1skWWADqxMU,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
8,2025-07-10T07:10:37.860928Z,EXPIRED_REPLAY,RPC_ERROR,,FD71kdi8GZdWz8jMEiXgH7iocN1quh8kJ1skWWADqxMU,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
8,2025-07-10T07:10:38.053127Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,FD71kdi8GZdWz8jMEiXgH7iocN1quh8kJ1skWWADqxMU,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
9,2025-07-10T07:10:49.151950Z,ORIGINAL_SEND,RPC_ERROR,,4KKSv436x1K8j11CGFeBwew9jPdbvVkn2icr9EvQN2mb,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
10,2025-07-10T07:11:01.194127Z,ORIGINAL_SEND,SUCCESS,4VnBpjddxZRfHr7YPBdNjcKv9MbTjop9byN41euoz4yh4H2SGaQSH2J2UKhygcNYNasFHL4njLiq5ujkTQA9vBsV,2n3MnREpciYDdE1X177Y3TvFhPremPsJ8BV9yP1EyCDp,
10,2025-07-10T07:11:06.806783Z,IMMEDIATE_REPLAY,RPC_ERROR,,2n3MnREpciYDdE1X177Y3TvFhPremPsJ8BV9yP1EyCDp,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
10,2025-07-10T07:12:47.507044Z,EXPIRED_REPLAY,RPC_ERROR,,2n3MnREpciYDdE1X177Y3TvFhPremPsJ8BV9yP1EyCDp,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
10,2025-07-10T07:12:47.732518Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,2n3MnREpciYDdE1X177Y3TvFhPremPsJ8BV9yP1EyCDp,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
11,2025-07-10T07:12:59.037332Z,ORIGINAL_SEND,RPC_ERROR,,2VyDwu7KKTLBeBYidRRnSJBNu42vuuNfNiYyojGXs5Hk,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
12,2025-07-10T07:13:10.255663Z,ORIGINAL_SEND,RPC_ERROR,,E4XTrkLtFPtztCLsKHdP2JYGcPUz3Fem4kTVstxteTom,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
13,2025-07-10T07:13:22.333122Z,ORIGINAL_SEND,SUCCESS,4RSybis4URR3HdqdD6D7vHUKX2yRg9AngKqQ2B8i3tdxyYBZcgBR2qKtGe2Uw14x6uu65Q75rdXcLVKPfPaHYukA,EMh5qDdkFcgNjsxThbUNaB6BZfTMBRYAEp5LCSZWJ7Ba,
13,2025-07-10T07:13:27.925886Z,IMMEDIATE_REPLAY,RPC_ERROR,,EMh5qDdkFcgNjsxThbUNaB6BZfTMBRYAEp5LCSZWJ7Ba,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
13,2025-07-10T07:15:08.760575Z,EXPIRED_REPLAY,RPC_ERROR,,EMh5qDdkFcgNjsxThbUNaB6BZfTMBRYAEp5LCSZWJ7Ba,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
13,2025-07-10T07:15:09.080228Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,EMh5qDdkFcgNjsxThbUNaB6BZfTMBRYAEp5LCSZWJ7Ba,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
14,2025-07-10T07:15:20.039496Z,ORIGINAL_SEND,RPC_ERROR,,3dBASapPzQCWPZrCqsdsJsiYqR4iGY1RBNnBWfqQycPK,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
15,2025-07-10T07:15:32.390945Z,ORIGINAL_SEND,SUCCESS,5F1QmLwUKGtFAF5FCtrEZ9kTUBtPsQs4kqvBeFVbDxkdScwoCWp7Cgy5J4he8xYHU4LJfowtt1G1WvpGuKi6Qpno,6eF2Xiz6y5LGdt3t2p4hdi1iLPAaWpSGWqTmywGV1yWY,
15,2025-07-10T07:15:38.286721Z,IMMEDIATE_REPLAY,RPC_ERROR,,6eF2Xiz6y5LGdt3t2p4hdi1iLPAaWpSGWqTmywGV1yWY,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
15,2025-07-10T07:17:19.027256Z,EXPIRED_REPLAY,RPC_ERROR,,6eF2Xiz6y5LGdt3t2p4hdi1iLPAaWpSGWqTmywGV1yWY,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
15,2025-07-10T07:17:19.269330Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,6eF2Xiz6y5LGdt3t2p4hdi1iLPAaWpSGWqTmywGV1yWY,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
16,2025-07-10T07:17:30.395630Z,ORIGINAL_SEND,RPC_ERROR,,2k8A5WXxrDgJDQ6FwC8ZPuRoHw5i3v6CU7Mzq6eewbQQ,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
17,2025-07-10T07:17:41.412537Z,ORIGINAL_SEND,RPC_ERROR,,2QMeQVmrhKa3hGL7puSjpRizKYa6owxpMmALLQcTHMTM,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
18,2025-07-10T07:17:53.563224Z,ORIGINAL_SEND,SUCCESS,wkkwmU3Pk94pfryFG3vLv3YCpMQm5aiSdJpwPZoHVmWMR8YZyDRv1W8o2zQ5HevNsxuGm7UAU5QZsdZQeGWbDK8,EJKr9f9DAkaeNZaMa99nAbvmd6KiEGwsi9MCh2fe9Rxt,
18,2025-07-10T07:17:59.270725Z,IMMEDIATE_REPLAY,RPC_ERROR,,EJKr9f9DAkaeNZaMa99nAbvmd6KiEGwsi9MCh2fe9Rxt,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
18,2025-07-10T07:19:40.032477Z,EXPIRED_REPLAY,RPC_ERROR,,EJKr9f9DAkaeNZaMa99nAbvmd6KiEGwsi9MCh2fe9Rxt,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
