iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message,initial_balance,intermediate_balance,final_balance,balance_change,signature_match,slot_info
1,2025-07-23T20:29:46.187566Z,ORIGINAL_SEND,RPC_ERROR,,412maUkHVWArs7UjtssQi9h5ZWb8eMaon2eNH9Ybb35m,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391999,5.391999,5.391999,0.0,N/A,
2,2025-07-23T20:30:03.068266Z,ORIGINAL_SEND,RPC_ERROR,,CNKwPqY978A3bU8ujgXJEtgKDT7HkudUJEwLqUC3yM2t,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391999,5.391999,5.391999,0.0,N/A,
3,2025-07-23T20:30:23.373316Z,ORIGINAL_SEND,SUCCESS,5Hpc5ky7ZP9nfUqqbv85YHqwz4Aur8Ry8TcmVMPG6rztrnTrKV5cGF741nsxcBMRzoGkos2Y6aFFpeYeBFYypJ54,6jcWLwfufxNVPdRafG3fouX6gD1LuR3KYyHpxMmKa4UW,,5.391999,5.391999,5.391999,0.0,N/A,
3,2025-07-23T20:30:29.736466Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,6jcWLwfufxNVPdRafG3fouX6gD1LuR3KYyHpxMmKa4UW,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391999,5.391999,5.391999,0.0,N/A,
3,2025-07-23T20:30:36.538890Z,EXPIRED_REPLAY_DETERMINISTIC,EXPIRED_REJECTED_OTHER,,6jcWLwfufxNVPdRafG3fouX6gD1LuR3KYyHpxMmKa4UW,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391984,5.391984,5.391984,0.0,N/A,"current_slot:396321202, last_valid:384275229"
3,2025-07-23T20:30:37.774004Z,CROSS_NETWORK_DEVNET_TO_TESTNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,6jcWLwfufxNVPdRafG3fouX6gD1LuR3KYyHpxMmKa4UW,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.0,5.0,5.0,0,N/A,"source:Devnet, target:Testnet"
3,2025-07-23T20:30:44.640753Z,CROSS_NETWORK_TESTNET_TO_DEVNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,4Yy6a2L9ZrjZeshu832zZ6FZ3umCX4j2Czxwpx7dDRgT,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391984,5.391984,5.391984,0,N/A,"source:Testnet, target:Devnet"
4,2025-07-23T20:31:01.656571Z,ORIGINAL_SEND,RPC_ERROR,,93snrjzeg88Dhvx5NJUXpCY1XZQ6YwhJbpACYoTGcKp6,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391984,5.391984,5.391984,0.0,N/A,
5,2025-07-23T20:31:21.816901Z,ORIGINAL_SEND,SUCCESS,5FHivyTtEkzDkua9Z8JnF65VPbhKfZDSx8x63bkSbRAHTxYo4K1wdFUfjwL9uhCb9w8oWJHPxWzgnYa3a1RRjTSe,BTaaaBT8zfvFssQkzeQrMHMsTni5LKNqUfRgapsoZSLP,,5.391984,5.391984,5.391984,0.0,N/A,
5,2025-07-23T20:31:28.056859Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,BTaaaBT8zfvFssQkzeQrMHMsTni5LKNqUfRgapsoZSLP,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.391984,5.391984,5.391984,0.0,N/A,
