iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message
1,2025-07-10T06:10:38.104438Z,ORIGINAL_SEND,RPC_ERROR,,AonZd7KCBU4EeeQCn3TqhrRK8PZpo2d7YvKYUAVFBM3j,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
2,2025-07-10T06:10:49.386591Z,ORIGINAL_SEND,RPC_ERROR,,5zn5xSKzBjA2MNJsPUursv4wC9oaGv31sCXMrFaV7Ffq,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T06:11:01.717775Z,ORIGINAL_SEND,SUCCESS,5z5q8oiGGcmDmKukLQMLHXnkajfUcL1pPzXjJYSuN6hpvtMJQd7Lw3SHj8au4kBHfj9pup8oS1VJme4iZDySgVBe,GTboWoZHk55KqgqVXeij3yeHtiHgRNNA98wtg2LmaEJX,
3,2025-07-10T06:11:07.389943Z,IMMEDIATE_REPLAY,RPC_ERROR,,GTboWoZHk55KqgqVXeij3yeHtiHgRNNA98wtg2LmaEJX,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T06:12:48.075697Z,EXPIRED_REPLAY,RPC_ERROR,,GTboWoZHk55KqgqVXeij3yeHtiHgRNNA98wtg2LmaEJX,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T06:12:48.308852Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,GTboWoZHk55KqgqVXeij3yeHtiHgRNNA98wtg2LmaEJX,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
4,2025-07-10T06:12:59.796069Z,ORIGINAL_SEND,RPC_ERROR,,HGykw7wxvXbKHprGCgTWRUzGCyfh3D4YWCRfjNrd1ZJD,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T06:13:12.053222Z,ORIGINAL_SEND,SUCCESS,5WcyCsBRNjj6LRFGq2vvi434wi1xx8AxKR5y3i1r9xegpedmbmWDA9mVTx1py3kdZXsMbPfbj5LhkyKMHm4cce6d,BTGc94GaF64Xk6CZ1B5a4HeHMb4LUmQ6BprfaZPHk7Lc,
5,2025-07-10T06:13:17.754202Z,IMMEDIATE_REPLAY,RPC_ERROR,,BTGc94GaF64Xk6CZ1B5a4HeHMb4LUmQ6BprfaZPHk7Lc,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T06:14:58.523279Z,EXPIRED_REPLAY,RPC_ERROR,,BTGc94GaF64Xk6CZ1B5a4HeHMb4LUmQ6BprfaZPHk7Lc,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T06:14:58.910731Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,BTGc94GaF64Xk6CZ1B5a4HeHMb4LUmQ6BprfaZPHk7Lc,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
