iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message
1,2025-07-10T06:26:43.440003Z,ORIGINAL_SEND,RPC_ERROR,,4EtYidZwcQnKzd8xberzAVVwGccQ62EzxU5bv61ShSgA,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
2,2025-07-10T06:26:54.407444Z,ORIGINAL_SEND,RPC_ERROR,,B75GzHbYidcyWPBxpynmi2rtqp2SJCiE93DNtoRXe6if,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T06:27:06.642775Z,ORIGINAL_SEND,SUCCESS,5KBnZn3UpTJRaYLFc7VNrcAU9C8mGrubb97vgEqhp1SZoYCvf8pAY1HnuHFaGtZxvb28yjNhnCwJmnjpzzgf1u6Q,5qMWGTu3avRaYaV8p7XWtnKSoFJEvvNJabNzS6x41zum,
3,2025-07-10T06:27:12.341291Z,IMMEDIATE_REPLAY,RPC_ERROR,,5qMWGTu3avRaYaV8p7XWtnKSoFJEvvNJabNzS6x41zum,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T06:28:52.997291Z,EXPIRED_REPLAY,RPC_ERROR,,5qMWGTu3avRaYaV8p7XWtnKSoFJEvvNJabNzS6x41zum,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
3,2025-07-10T06:28:53.214579Z,CROSS_NETWORK_REPLAY,RPC_ERROR,,5qMWGTu3avRaYaV8p7XWtnKSoFJEvvNJabNzS6x41zum,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
4,2025-07-10T06:29:04.484290Z,ORIGINAL_SEND,RPC_ERROR,,E7UwVWPp2wQD5PKuZ1UFaGWiN9HsocNfLd16jpkSEvY7,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T06:29:16.533556Z,ORIGINAL_SEND,SUCCESS,3sDuMBNBpRu7dfYr2iK9VR2qpwjRq2HwUiVyDkchjn6Sw558S3ftQMLNn8mQcwTVHg5xtbLV683NLSBfRq76yD3H,QzLA6QBgSMqX8wv8ot5B95vTZZC26ghk9tYt6vm5key,
5,2025-07-10T06:29:22.431374Z,IMMEDIATE_REPLAY,RPC_ERROR,,QzLA6QBgSMqX8wv8ot5B95vTZZC26ghk9tYt6vm5key,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
5,2025-07-10T06:31:03.367228Z,EXPIRED_REPLAY,RPC_ERROR,,QzLA6QBgSMqX8wv8ot5B95vTZZC26ghk9tYt6vm5key,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }"
