signature_hash,block_time_utc,r_component_hex
NaB1QED1qDmhHTdDjXzMuMiH5t1jdA2MHpWJb8Dqavz9vxZ1MqSAZ8F8WBazzNUVo944KdeTfcwdLBbe826EahV,1970-01-01 07:00:00,129a52919c52154862e41fcdc66cce5f6c93ee853896fb02a8e4a8903f7dbad6
3iHmW7KVSc65FvjUghGvQTDN1YvY6trxPRNzKUXSQmeWdfQm54MpgyYGTATz2vJsJ5G3oKLmySsdxhW3AYZCkHAL,1970-01-01 07:00:00,87a3e0501ea5d45006bb674fcc69c3c205d5dac27e39ba1fb4231dba0d7236e4
2Vx5CRp1BQzyz58XBSXrxyoJiLM58md2X3T9gY6nhZJWQbxgd2MJUnPMPDgkQ3RQqfxf83B3AexCXLBYdo1PrUCx,1970-01-01 07:00:00,4afb624a803c36896744c1189081fe48ce3b31c071164c8f4e5a280990c0fced
3fDMguwwqfwXJG31u5vToWpBvFygDuARy2DZPAR71Z89JxA884VKbQuprH6qNWnAfQyxTGRHrSxh2DwqLeQKTFpV,1970-01-01 07:00:00,84fccb52df5abaa62d1bbbd48cb0dbd0c134e6887248be41fdc240c2c6afe73e
5AS4QJwRpF5mSfQD4sboR6NwGhwqUj8zLAUuQUkm2LJsGkZMSCRUoGi6vM4Q93vSkVwdmRNCTmTe9Awn3coFcQzJ,1970-01-01 07:00:00,d033ab3ef17af62a0084881e04eefdba809cdb0edbac911e3b6468be6373a9b5
HmEXPdxbYhPXtvQfXg2kckVPNNfSabvPMNr3j539hBVuB3iAXHvhPpq9i1F6E6cgbbUGxYZHfXUjmHJ1HU7aSmW,1970-01-01 07:00:00,0e74995e50c61d4bf9ecf251b52d31b11c4f710a9dcd2a35181a76a0af87cd83
5zSZuoLV1t3zL5xqY8ZMp33hjZYBAMWehXJCf9VewwQVeDyubSFNvanF1UXWuSAC2JCreH5p63H4TrQZJdyEtno3,1970-01-01 07:00:00,f99a4f69524251db3332207ac1912e0d9c09fbb8bd18b25ee8f94dab6797a860
5kaGT3BCY3tSGDo2aSCzofywiB3ifRAT5WrgDvDo4MbWwDxJad4T8J262kHdMjCfcQxEutdATV4NRim1TbhMR6uJ,1970-01-01 07:00:00,eda4e8b63bba0f7d2e1ae9cc93701bf319ff93f94668a26c1696acb40c77fec1
3KJEN2TKju5hvE5itp9pDvj5NPEaMvkPmYLMAwQbY3TMuCU4C6pubiQL4tujeirLb9DWHzmWt7HYnvga89yvxnKy,1970-01-01 07:00:00,73d00d200d96d66ed536b7500cc88f3015acdab9e214937d584e660d13c027f4
JbwNFFM8psEnSz1NuDxo44FX3Aj6E29nw9mMeJRhGBfDcA7etodxPaD6wN12ezMokNQSfRzw74onAR1HfN9iraX,1970-01-01 07:00:00,0f2dfb3055434d728107801fa83a4b971a787a4a79257da955c9580f4fb550d9
5LyinU8Ymr1tAGM4PWUkcvkdfqPHWXnCBsgjmvNdG3jJkeYeHLxt2tcFMNJZ7Thhk361JdRKCkBfSgEZ13TMZRje,1970-01-01 07:00:00,d94bd45b402cb7730c58ce56230dc0d640e40b26a9cbf15516b4348ebe527141
BcF1Roim26b3b9pHATvYqvPErvGT7USHqUXyK1rT8X6FnJ9Y7WWLHrCEsbYW6NZrLLymSKq1quLuuYoUXRSRGow,1970-01-01 07:00:00,0925c94028cc5c21389be7860c19c967d28223ae881181a300a21db4b6435fc6
2R7oVo8aYGAt8JQTjSccwYGemrowW8izRnULYAJCYgobMj6aoqrkZymjHHxoqisaVKtRgeSr1f6vWQhe5w5YUXtL,1970-01-01 07:00:00,46d097d25cd3ccdcdf7521c55687b9ad4c0fdd9b120eab876fcc55c7d4e23212
4hbusE9egkzUwt8MBju6P3vosEQRqrTbRR44gPc7wP43MWWP89tudz687FLJMYxMzKfkCVe7jYpjM6L2BqjWrYui,1970-01-01 07:00:00,b9108673b47373958ae56debfdc8b138e8909d4600b73db2e12de3b70d7e87fb
21itcCnJVv7JyNqWY4ZkEhSTTSeAZMih8gSjAoT5MbegbWFvZCjeaa8QR7NfN2KgGhEkHLytkeFuFC8RehWfBYPg,1970-01-01 07:00:00,32a3cbce6e6a707dd938503e4bb97fb49b554bbaac07d78efd513618f5203711
4RxRcRxmAbrqL8jvjdKUK3E6i6114aKy5ENnXL55wDVMWiSm6zLvVe1hKHXaX9DYmbrnHRTYSBfCHCGwJexqEXWP,1970-01-01 07:00:00,ab925e3960d03fc5b76e7f7bfac21183b160a305094a965cbb25551c21d65292
3fkxShNEtPVHCXvW9gh9xKsMn9UP3oPK5nVDscZYfF8jM37cH6PmfTqbHCt6UGvovWJ2HqqbvDbK3WRB8L77TQu,1970-01-01 07:00:00,024d0d8cd83bcb9a84af863d112b857e4d9b57f6241f07ea4b98efa609fa6fb3
YgVtvceiJyVMDqPs2mBA4QcxiZxepiRCWuFmbXFYo6gahgkB1Tbtqi72n5AcSY1E5QHpFdVgMWYNur2Ry8JqQuT,1970-01-01 07:00:00,1b520bf0ef315fb1eb5a738f5743d674bc458962da86f22039202c1014d88166
61KVSTnfr8aoFgEAN4PhvYLdmBS7sZv2chqoerwPr3mUgbx6goG4kY9Hp5Gkjp9jFaJ52ryniHpCTkhz1M3K6cbz,1970-01-01 07:00:00,fa5c232f036a39422bae2710e4246c9485889cbdfb98dd20b9f57419e7e64ed9
37covpnE8nkaGvugbUvch8BY24fcHTM2KRqNtxYEh2ZYDWFyQJZzHb8rKsCUt7jwiFsA66t3JbAtDZXsY2XFxtyn,1970-01-01 07:00:00,69bd974cbf56ae6b21009fa8b3f02a2fac32f383b13f6e39a6d9635e21c7db29
5T5gALpQjz9ibkSuWxq6SSSZxTVx4JFGDbfYgQNb7nhZDvsv3GHrRfbXZDjUBRE3EFc7cH4wpjPMeUtYUWzk1SLY,1970-01-01 07:00:00,de8f154d53a51fe9bf19246a08852a1ad0ea9db0cc5b71b70f38924e50e79138
3eytLzSF3FqRiEbaquGssciT7q3oVH1GV5v23JqwArThhPAigU25n1DYVgVU3qri9AQYBX7TcsJxZexLTVJ1qhwH,1970-01-01 07:00:00,84c9849f8dc2464557c458f782edd3ce4359f27e29a7f4ea4008f8bdd84a0598
qv4N5VrJDZWCb1pNWD6fNVRDRNoYxpamaLFQXCtrZeY3LoTqgpPpaBoFYF2YjBappLY1ALxMgXXQSixVKcdBR35,1970-01-01 07:00:00,2a2ea8a2999dae7b9b0acac5a49d739dfb02f2fbd830fa40b6818d2a6904a774
5YDuBAnh4nYfa8bPSyVAPhcMyVDNLRPoE3QNb3FmNNaXRsEkkF2gAtp9mad3QfVYD7UVmrDrTAhirJtc2XJmq5Rk,1970-01-01 07:00:00,e2fe3603b4da9249b126bdc5c2b1e8336c61f9ff6e5919a17a20dc249b56b2ff
3UBHDpftdom2tm4nh2QEFbhyKEsG6heswPpUJ5YDKirEpjcmWCTv3c3amU5xBWfMtTurNFvSoY1gGE6kG4ig35Hr,1970-01-01 07:00:00,7b787a1c5635d146fee7fb8e46957382d3ee61e7a56f3dbd048d1444d8094c12
2iDdegE43NeuyYm4z8jE2bfrLV3AAZ5gFMkpDXHBbjeLUH25PFbTE3suPtsKzdbTwXZJ8B2WhekzwycZ3KbocwFd,1970-01-01 07:00:00,558fc8bfa67b8ae697b5573279f6a6a4e8742aab5ae6959b848d9d00595ead37
5btNxXmysWzJbkiSrWiGMbKnpv2pnrA1HcvPbpBLrqiPqd4Co4ZFuxupStqpkHSZcA52AP6qebyGk8xnS5eXyThC,1970-01-01 07:00:00,e626f799c2b2f38b7ecd627b922541e619bf342fefae03d3b9748426a3b43f0e
27AFi119vTfUu11LmsoHqxGC8jQH3wviDcoKtoz34cDgQthnsUFuXaDrGYnMCp6RcafpcYgxjA5dJ7Lb4RbtvyXa,1970-01-01 07:00:00,37542952cd24c19f44e0f463cfc7b13cfa3b216a2d7c05401b957f920d1057fd
5quJGGuAPAc6AxZzMuYMP8BmoghokM2QeG1j67X15bqHCp4rH86QfYMfNVXoJu7HJsMUWce5jRGbrkNmdmM8eoSt,1970-01-01 07:00:00,f23d2bc5693bc5952645d2e9477f7892954040707f7610bdd0e93017a9965fce
