signature_hash,block_time_utc,r_component_hex,message_hash_hex
2dnADzCNDUQuJYb4M7fXnEsTwkLRrrTMc1ns7xeVtKLFRJQeQjK4H8LSjgmaQZB3esRrjocBWUwS3TVQvWHeEvVW,1970-01-01 07:00:00,51bbc4b77ab0b6bcf89e5806a9b781b03bddad863accce583814cb407dd58862,b359af97c2baa1a0be4a840bfd7ff952d63591ff94a2e98ac86851cfbe833893
5YFbYF5PqnXznedR87uYFWEoC3saeTczqQBQcWQYSXmEWrBQbA9DfDfqieqGgQ4dyb8se6jJdVEPThp541aWaBsm,1970-01-01 07:00:00,e304aa88f5022872c37c2165ccc9c502ff244dafb4e66bf18e9e6f17e2d0864b,e3c62b2d47ed8ce460d18c445fc696151b906605853cad6893b0a819fef0fccd
xAad3oVb2AjMpjGbuJRp2dCJtWsrSSixcUZHffNouF8cfn6pPyTDbksMTVCsCVe7RtkUm9XhGbnx3ujPY4c3L28,1970-01-01 07:00:00,2f92854385a2759f740a02ca7189e48ee7a7ea8f4e22cc3d6ffc52b55f77c367,e8f543ebb20deac602493296c74213d01ca369190cf6b809973ab2b9a983ff3e
2wxwRSoP8dfQETfEbAZ6rAUYoTuKB2dCWpBsK9XRMSpq5JvUGy61Kyqhf4tX2eKoab3UgQXKXKbiFiuoDJKjq6b1,1970-01-01 07:00:00,616a8fcbf32ce3f3f5da38f3845b61ec069bea930572b7d2469ad62d1c8dfbb7,b8b6b64e9055f2e0770afc7f171ad0312581f1923b36a838d6a2507874de264a
9SCEsQBj19R4jFgaoGNrPc1gssKrVsGzzLX5P7uYbhkkv3o7XQY5k7gkfM2gfbbBy5ScBJ6Dr4AJjeZqspZyWFd,1970-01-01 07:00:00,0746032135141d9a26cb18ea81ba49a4ad11596e67cfd24329ae527698f8b869,e4b92d1e1492c270144372264d137b3705b2bcd3e307ccac1d870e807430a2ed
2keFUziDUserNpe8fxxYmhVhqBnh5JqB8YqCoLpcrT2NkvwteUvDmYU4xw6DdRTmMmp3xV3ALxiXXxgPgcBpzjSU,1970-01-01 07:00:00,57a704195804b5164f54e5fce49df60786a915c4897b7dcab588d202c57ab082,b764fc0589aae6104194762202199a23a2aaa638e497c54acf65d1b23ca32ba1
2cYUBpaTfNUF4YRo9SGudomVfRnd9WWuBGwSvg1J6NRw7BeLmeQFjCAekYjscT34jkAFFck5RyLUDGwv7umgwC1V,1970-01-01 07:00:00,50aae4ffaec6443dc00f76554af182a8d89539edadc953019282ad487b5021e1,d6112a7d4e67445b3ac447b55450e177dba2e15c3aa1a9eec6f998473bc70781
57m1RNDHs298eBXJ3e7EhHJdHHRAb7ii9BE9d8oGrvyiQQ5R5jy4pVbpkowz4zAXcbZ1GsXR3pyMgmMa3Gqi2PZz,1970-01-01 07:00:00,cde57fa88211499f2b5d6a15c0505b3c96ec99569cc1446c3cce351ea4bac531,55270a3799398ba3ecb504ded44f675775489a299cb9bcd36ad99b0a9bc258ab
4WfPt3BMzsfdgViaTL1Z649ZaCYxaATJfyMZTWdeAzjK6xgGV3aiafwkirq4A5HqzeNSnCrooqiPMi4hq2uo6qq6,1970-01-01 07:00:00,afa15ef973244181446e2270f4b87d543578389fa0be7fcf0b96d0a7a37aceb2,274b9eae09eb37b64f53b3a227316c70d862736231f172651c21526a4ec22a5f
un3x32ABMJRd9TWLj7uFAA4PCBLUsuADTTAFXB9dBzgdXRacoW2QjeewugnqGYNcfqoiCEUdrFxV1rMAST9wBH9,1970-01-01 07:00:00,2d833d6dc79c68c9891128357e8b426d0a09ab851b9efc03092792a35849c7b4,8e490db4203f5dda654328d6b117cdfc54a3ac9b41be0981bbc4cedc678f8f73
yeGsQd73Z3uddUDamWvkZcA2Q3ZRoGziv4QDUz9Kvzh6vJjfEhUpwftJjnJfBqPLjCg3svM967kdG7zfHbTxTbo,1970-01-01 07:00:00,30d8b23f984718463401f3c1f7cc2cd14f8280c334a1dd8b040d291b85c69fd8,1f37b6c6b49562cba3a74dff53f117b583bf741f92c3eac8fcc78bc14ec6bb54
2ndxaCogSwuV5rGJNAh6Cezkphcv7kXN4hNpQaPN6a83VF8mR2QrcfbyvC3iSwjHxp4diYRYMXreRZT6nXFjUXAk,1970-01-01 07:00:00,595f6f85b68a205d8505c393ad0ef6a7c20f39c5e3fbedceafe631f55814f9b8,cba763666acb9459811ea9651ee1c8df589ded5e6572a845a1d01465afb676bf
5sgtXPeTy2HvxN7k5ggzrqaBHhY2BhfcgzRUAT3mLZf5AydAescg49nFmdMxEk72x1KVg5ajMCpoM5t8uEfwhbac,1970-01-01 07:00:00,f3c7778c2d5b36b81abb89d552f8b7818de0fda2a5001cd786436c6202a539c0,a49e5dc1f0dbce96e9717e455d5bb88a2e8591a342c7e841a03a385f7e2aaa7f
vsg7AsGKcQFy2qauKdzye59WDqr61UwYEHX2fb7MUtRkPV1h2RoEa8gsKLXCzghrGUyYxQ8BYNwvftf9huqEFGd,1970-01-01 07:00:00,2e7568b0141edc62f94e7e24810b4a05b671dd04929141b95f1eb137199b529a,0b5a3c880d8e837e5bd8fc40a5e95d14b0b09d663cac20693f381a7e2cfb0c6c
2FJ7h7fEhF8pwYRucpJdnkBUsi6X7kn2bq2PhyCV7prGjZhviUinREPZBh1aLcmdhyRQ9A6m94AKDXSpopy7v8HB,1970-01-01 07:00:00,3e58340337b0c9df6d492671bc9cc195b3767f3f3b96d7fd6458fc79dea7ce57,83e54294a899cc8ee0f60589278d5a959e54c85e8d737a091a6b6789a76216c2
3oKYo2F8o8RPUtegg6QUsezAfzW92LMTgth4mohMicv64VyXKstHqDs3coEULNkBaf2o7StWQXVo6TfCkuVg1pcC,1970-01-01 07:00:00,8bfa7a6c2bc5f80d46effef8bb905ad69e4dafeb2225cb311fa169fac6fec3e3,f67ce6c2171a6307d1155961b3093be2955576c3ddb697e2366eff49b6102eae
4yd8Avt2uk1Rj5ZHdG533MuBZc4mYwdeLDxdw2yYYbqpcrMQS29Km4o5LjR1LN3m8YfMrCnz1ATfGcGXWpa4TSBW,1970-01-01 07:00:00,c6e15fbb160c3c996ca484602a2e3f9db72290baba2c588fb5940d388e10298a,15d053449ed1dffe9d0d0c9e88ffee9546ae263805ed16a7e9a38406f828867c
5WWrJjo8TBDzq4ehRHAUeoqJ5wGv58cgQPSq51vtvcUWEByAagW9zyXPXAhDrkA9cZzyUX3o4S6rnWtanPKgPgZt,1970-01-01 07:00:00,e1853340b3c3d580dabe08eb0d96d23e523fa5f9823a95e28bca01a1e7ab8382,76e9951b6adce70d98116ffda8c94cc540569bc9ca77254ab10ef687a7e226ed
4iuoDZynyqPxRFGPz1GsoiaSZDrojp4MU5HtqeMpU7pDs3rtQhVaEtv7P2v1wB9Cc4MZuaGD6qPxw8SX5W7bxvbc,1970-01-01 07:00:00,ba315de0084beb97e0c8f50a7077aa6a12a379f8f6da778c01862e04a29599c2,0854ab92ebd02cb8fce9336210649a4e8ad60033e6e792091b66c582477fd9b8
3km7itRSqf8fAkHVxoxZyrEtU69YAc4Smm1m4tHrLmDQEWepu1uqsMVWisoMQWmLNVZK8nAUyvRjJsgPVGvvQnNe,1970-01-01 07:00:00,89c5809850a372041d1a2e14fedf1d5009648a849a0d72b0d11613de61a058e0,b612edccfa92ab9d22019b97e3888a742cc13de363ce77ca4c5aa57556fe0a3d
2C73sz2q8153qYNFcCCT5Fv6p57dRLPS4KK9RVG4PspYYFFXi8Rm4QNrYNCWz6jnwr7yB99UC7PKkMgshZYQZp8B,1970-01-01 07:00:00,3b97ca2d8b5b4d04bcf6c5596db5474bb3a5654b6fcfc6692af04482c0c614c6,2e79a9d9478db045e0e6cc6baad75d860f41933bfc8a756afc9aae7afcb2dbe5
3NWYWqh8umAdp1AwkUmJKNXW3XePY5rbz2x4NikAaq38jXYsbCLY6qMdqx1hvGE8Zb71DRJAmUH5cCW82qJcdDG7,1970-01-01 07:00:00,76953645ed090754228e37e36f91c3c534467f3b0285affd46fa0e991dd156e4,293124f47300c84f958705a3b3c16421305f695e27fbd976763e4657e3a1371f
2Rp5y3fGGMLPgmZEYGVnPMXZQTaeeDfqsR2v4riRTHA1J7jQYh8Jr5R4NYkNKbg6oFN2LTDNaHubPU6SoddeefPZ,1970-01-01 07:00:00,4769ece72dae7b5610887a124fd380e03f02e6392a64760de6ec376d806d98ff,1c6c94b18d47554beaf824622d4a4d687d1c40c9c5a9196a01a791c935dbb5ef
3MykbKBugT4ghzEdRwmtn7c5L3vYjL3EAYN2XA46jpPDgAzToMyekt65BA1r3dK1A7jYQG6YNfJXqUKPPoWzEw22,1970-01-01 07:00:00,76200278f34cd6f644d3a52613b46a58945e20b0920dcd4df60e22a400b74c04,e79a12b4a97f33144a76ccb14ae06896b2e4c011173c168d12adb8462bc03d66
2Uu6Hdoi6MAMJwU2hUSauDhJwUhpT4kbrEEBtEQgPkPJG8F8KqW7RtPPMadDdoRRPPKXew5n5hVMeScqK4gSzJEX,1970-01-01 07:00:00,4a13459c9bef2fded2fa1e5543eef2170569789072d2ffea1dafb0fa7cfa67ca,b4379231e33fdbe9ada2231311d2a5308d8588ad651e844cc13931014536d33b
4pouoQSpvnKWujSkwnqy7kQ9YLTXBym2zodXA1RU9pd7h7uJ14fLTXE4mdD87sNVoTHmxa8tuMePUVUuvzDn1LwG,1970-01-01 07:00:00,bf478c9249a65ab0dd1e51ac07716f1f1fac7edae784a25a09626736ab9a41d6,85385dafb5c2e75e479359c72837edd3fd7d43d91624c9477518652155fa6b4d
