signature_hash,block_time_utc,r_component_hex,message_hash_hex
2HPzKrJ1HnfkN9AwqsmDnjp4veXn7y2T585zjWMyjuZWQ67eA64EKatp9CQYwyZMk8MJQvWzfWtWjvotpLe5juRY,1970-01-01 07:00:00,4028163a230f1ce3b9adb6eb2decd9b2850ced10c76a3aa4a59d0a3d81d57eb4,1a136df33af151443313068a47f149ac46d1c194f61326904e2cc4e2580a59ec
4DMyQCGcyKjg2dCNCtQ9MCJwZRMzt5N4XMin4qTL78pr8NHcYWAQFfs8kT7Xu5k9eDVMBJ9gpdTrzkde87szpiqw,1970-01-01 07:00:00,a0b60ed7e2ddc9d8d39ee2713a4fe57ee5915383f7dc719b0a8a9e8c4e9b0afb,9c8c50d1183778d90ba0e42f234ce8b2834d9168cfa878321181f0fd49bb01f7
4w9GM4HHuVyaW9zik5SA9GqnH4jExNbeG5DrX3oj1WQLYu5EX5i44op1wu8g76RfygBjogRuyqyGLcZFkuzQTiaf,1970-01-01 07:00:00,c4bdce14184550a103aea0329a31243914c498607aab7620d8a457e038bc37bd,063405c0c1ecbfbce1bcc3758ef04621f71a8bae92510473cdfd42b6c534e7cc
5UL6sq9sfbNePRFC6nxpEnfQCmtVh2ULw3c6i85Yu3LAph5pibVWo5um7h7auZGfxc2bjjHZioqVm2Rd71ERK27T,1970-01-01 07:00:00,dfa2c204624120590bbe7127a6e64937581ab241bfc7eaa22bb374ee050f8909,a06b93f506d2505e9318c8961d95e4426010abc9f8037f6c575beedf53713cb3
2sDTzC2ALycqLiFHCbjcba3y1ao8xG7vxw4oBwHqzFzfJCwXcXACyZUQa6cfWWBQGyPTayf1V7n7ehEwipyFML5r,1970-01-01 07:00:00,5d52083a5158740982de3aef222b2c5aba41c89b9ba2fed8683136c606dc4d85,9d9547002738bca0e10e193e14fffe1c6d43488bbbd1365c58a1675732eafa39
4Asf4FL3tQUcezMYnij73PjQL1te3bPLkVBUEicnfeM5kBPRZxpadCqFkW6c4iPhUwxjXfZMjgsh6dnKG3wLdJEY,1970-01-01 07:00:00,9e90bfacdd57b54e4933421aa42a0bf04f4dbd74cbe113540f6b48ea695036e9,2a3ac8adbc8bfbfa9b2f27d82d24a93ce7c1472179565cebc027a77549fe1007
5U55snj32yBGVj9xiN1vWzuVjup2SJBpvFfqkKZzMQEYXHEpBBjbrfhVq9Ve7sFLXBZ9fnN2xyWbkKgpif4STd7c,1970-01-01 07:00:00,df69990f72005975cbed9dfd5e85f3267db8b46236711c7786474f24d458b10d,e15a490defea6679f086ddf1eb5462fb5625a63a54c2519aa4e0451a55be0575
2v9aMbWJyu51haXfRqEETqksRiNzUbCMMY6ofjSvYuWyngjDYSi8AC8sHQjgTFWQEFen5S3h1WaeLin1mgdNj9X3,1970-01-01 07:00:00,5fd984ddd642f6f5d05112186f8c0439f1270f47cc4940625a57853062716728,ccb17718973678cbec58ed71d978779f8291826b6be8ee530e0a612f7176111f
28PqDkEAg6buaDRe3Vbivb3mbxCp9DHMXxeitUQYwwYYbh8YAAMus2chofCJiaS5FVfzkruhWVcLyr3ExMMtP9QB,1970-01-01 07:00:00,38649b6dc7d8ba10b2f03a7b67f5af983c4571db72bd00466bcc0229c469bc8c,596e782f0497f9c9a26e5693481468dde3959d3cea5bf923136354164d468a22
1TPHLWgHXMUXfZLyb3ma56LJyqLhhegR2mB6BjRZZH5RxxQE2zjog6jx59BDV7PhMwhzAb2aBEDno84gehMjYck,1970-01-01 07:00:00,00646cfc705456adca2fa3057c24e62f5f64205cb243d63183d4573915c52bbf,db5f580bab7d870a411f3452e782277198209b3e25ab396c7fc11ca4d295a251
4G3m53jMbAgbb9jrmJWSbR4JcpnBHrsqqZkD93VecLNPCPxasDyB29ut6X2uyrPy6NgjqB1Nh8QXwvZJ1ebCe8hC,1970-01-01 07:00:00,a307079912d251ae31456483065bed0ebb3dfe577915a2bced5aaa05d96257ce,ce61ec6c9f48cfcf12597d3230b643768107d604c3af1bacefb9ed88ec7a4c5f
2d4SKZwgczZGnep77koZgrxYafuPvuVGX2xP1LoWY1o2s1bCwi3KWmaF3799pAj9qVYvgtNPGdwrVQALAWNyktSV,1970-01-01 07:00:00,511cf5ee7da1cfa364ae68ae126a60a4d2d7ec807715cd78a7e797c09add0452,1ecfa35e6d73c4406e43db9c5f11328578b4f8ac9e49f05980e5a93829866011
5FYZDvKCQHvjSqYANjLSXc2cg5gv21UEKKziT1scupBVSt7wo2chHK7pCksKbRJjRNrUyef7q88ij8iNchtECJyG,1970-01-01 07:00:00,d49c38b14a9b46269bf8d1e5067a2cfb90ee8874cbf5635871a4c553538b17e3,14ac89cf1f647085f4af7affe26f5ecdda300d0c9a0534b748d21459c38e55e2
2BoxyUkQTS79MEmG3BGmfJ7Xa6byUK315N9TqKo3tUEH6Nshh4DQ5vUZPm7Xa2y17k7WZpPsURDDaycwGNyo3Wv7,1970-01-01 07:00:00,3b56c2ce15a501db245e647977aae94945282ff296490f028543bd0724f38fe5,64c031c805045500568457ebff8b67b6e417743f597b69d86ed1de809b5d24f3
KbydZj8sScYbFTKv4zuH6AWUTdYBhxKf6Yx7QwsiYkGbGwP8CcFzG6PbX2gFuQKvqKm1mMR2c34iMpFBMzXmo6B,1970-01-01 07:00:00,100ae4fc29fdee5289faad3882165f7096d96784ef2266efc0fe41246e983750,e34fd838c9d11105532db3480faf003ed83075c26a1cb0e2f5f546fc7770be8e
371AmX5BSttCmnn472KkXdnpNBDT2ZHMhqcyAkA2xJy7VoUjcZ7KmrTY95fJmuPyexUPHQ6BHncYYqqCXjHxNGHP,1970-01-01 07:00:00,6935eea93fe190f4c6bf75e6a670d2a5e02ff0509ed33e301f0b49d1eba2ebaa,ae6de1d8df8909c9e9882e8b8803c83d941732e61f095c4f8d0db43a0ca8be81
2yNvm4cKTPNy7J3GZBi9xpExK5tR84hbiEXxi7mzRBvAnVpmh6MGbfiH8cZCXbvYjxPZETJgD7LryMfDabYEf4oM,1970-01-01 07:00:00,62a2a244ce5168b56fa6e17d971787a6c33f05543233519ca1c69d0b77df14d9,3216b2aac2edffb669ebbb2caabdd16b98b2652918b0bd2e565f8c5d2cac63db
4zPxKdDawgmas8bkMNSpSj4g718VQeQdFXJ8TxKaB5NGmdL66P2qVZLGpdoq1PVcqwXmBSCXAWZ5M6LmbkWRRKe2,1970-01-01 07:00:00,c78c02ae6cf65abfd9132c9007d9f39182548b58a77733131d4253d230e1f7ce,b71c85342893987cc1cb81d89ab019fabe30c1be74cc83b63da459b5ba1da331
s14KJ4ZMAfnG28dqNMUyLAUEMqR4qAugh6mqGUrnNPhopTfMt8tgWypxmSNQ2vDAxSg6CkM68iYp9RLNxpkXw2z,1970-01-01 07:00:00,2b1e73a2c50e4eef1bf034b4d108be9c2fd9be2b1d26460bd78c51bff897a569,59bf05b6067096979a956617dba40f17b3ac9d7ea76f0ec3956f570ec8daa4ba
4oiRDYK3Ei2aRjkGC97vFwMyhKpP8Vo7S4Nt5iUZNNRM8cVYMxZWa6N1ZjwTi6Ta78jSQLWRTRNTmyronwByJkGk,1970-01-01 07:00:00,be55e08d01746cd2060cc577fb712e7e3d2e3d5479af799017fbc67854049b30,d28099da6025052dc44e561adc6e7c4e9032a42e8e2f49f061699bab9d673071
3RkpiJLzd2SPiCKWRKYWgJByKJ8EzBA938RdMZK2Z5DaPpwuT12CnzXgDc4cYZK7TUs6XKvGVnJjP4F4WWXvyHAv,1970-01-01 07:00:00,7961db67fc278f96648db27ec081981a4975717e1de92949bfd79eab4b5c56ce,66ec3d16a4429718ec501eec51495d26a42c04dc5b01db1d74b20fee83fb8de3
4APj4LgZjLUm58Wk3ZMctETXhWb1NdbAE19DcXtuGHwNVePBcQ3PPY6MT6t2hweLM4aqeWjESAkmtKuqoCwkYdbw,1970-01-01 07:00:00,9e266f6ed41edb07fc12ce290ff2576dfd106acc8fc7f5656429ac6244a329d4,5d00686b1a265e973a05cad083a46b032d6ebdb40cd4060ba42953a191b86c35
e9rnDNVVVCZnTuWowoUFY9GaGD8FUJckF52gYT7BBTg78gggSYxdBVnrgUmLKCucbCHYmp8Gy4AmXgUz3jo8G8P,1970-01-01 07:00:00,200a02a789138f630f79ac68b292d9d66fa87eb357dda18df89ae0bb117d3741,75268af04346f6b32dff3500cd775ccd86166284e464cf5618a143a6df0a763b
5ieHjeuKirFfPbubRNANdNjxg9yr9rwPbAZBe3Ny8xqB5wGu418yAhBF7DUNVnzUms3yWqeGmx7eCKWng42QnJnY,1970-01-01 07:00:00,ebfab0723015f2377036c4af903993aecd4988fd18ddcd579dfef1bd731740c2,dc39b751d9781eebf6dfd500502abbfd1c313417faf729b9881192430f744a38
sshpzM4iVcSKrEo14CCu5yE2nN1qkNXa2UatRUAdCQvxqL91iqCjEN3RFh6Fz9rQXfo7qKeJkdBxEACXLJBrzZZ,1970-01-01 07:00:00,2bdf3a532c2f92a26f09dac436284e7ccfd896762c745631712982397fee5d8b,0b675460e7584a5a4788e43c146d732c86bc6d4785d6a47511a2869a3c0b8642
