signature_hash,block_time_utc,r_component_hex
2KiARWrCJbqTD7uZQcy88CPjKLWV5W3kpXpLWYMixtKGWrYE1wm4yG776Fz7rEUeZFxmxjvHeW8v7hKURKFnFcgD,1970-01-01 07:00:00,4226cac2ac7ea4d5f6f3ef67cf871b6d3fedf271aa027c3cf8925f7730b418dc
46aD5VRAuCzqvyZJMCXTDqx5eAvCEvjvUk3L3ycs64Vf6etJxTiH3gNStGf4D2axbba3GwKf3SEMgqLJgWhpQfwp,1970-01-01 07:00:00,9adb473b770024c56b003e77014cc45b0c452f4a08ab8e57983810ad8ace1f27
3pnQyFodf5Kujq5fMxwP3Z3qjYfWC2GpZ6BmrcLcKk5M1wskXE3MPJbkoq3aiZVPYUBb2aPQj77RytvbTJLW7M2Y,1970-01-01 07:00:00,8d3d7fcde915eba696ed97af52253b3fd9654528ae79d480700f215b62505322
c1oG9WhBg6yQ3RAnLgnjSGWvLdK4JagFP8s5qMyUqh5u4ix1t9wjVYcjPr5ei7pghyRopvDhSZkq69DGkmxgD1J,1970-01-01 07:00:00,1e31ccc01ad4eaa022a91bde1c9f0c49e792c77810be2c3a771526e91afeccbd
3zViEma412TZqDUeQWz7QrMEbYzTybKVCnGExonAyxgw4K7mRGMfsFPBcEoWk5ApN9LVQb7BNJYkQmyB1jAPGoSL,1970-01-01 07:00:00,959d9286305c5732d06a49fa2a1acdd0722887b768e922cf065a3d44104d21b8
2j4rg5tq32BRcXk28jsDWggZu9vo6cneLhaVbrBnDMcP84AjVZmATAWtsqG49KFoCH6AnK38y5S3Ywd56nvXmjsq,1970-01-01 07:00:00,564b25a1745107d1e0c160bd3fab5e1f8b29bea68200043bd4eb66c7adad3f32
2te7gyDf7G2xhy3ZX9KqE4fEAetzFQ6UZTJ6nmqqbrz2coy5azoixP8L9W8moYFvrxL9QYuGhmdUWdByQ3geEqoi,1970-01-01 07:00:00,5e8c9f3c6511210217a46556277436d803478373df6e99c49c1b8773a3c368d7
2S2No4qtARByi926bWyayASZiVMWgqxALmbNseb1GcB1MAuK4CPuJsHivbmeuL5ct3UsUKqSTctMQXmT8gvNCyfW,1970-01-01 07:00:00,4798b487e1e75b4dd73a45df6c120c6610aed7e7cfb71f6715f08de91e710e4c
41M2AuQyccK3ZkBEPSAdnMPDQm4fWHodLdMqS5rJsUefArbQoyK7U9XDQBgCUGzcgqcXEwYVbzZadQ2ezrZNoh6A,1970-01-01 07:00:00,965941e1360b661195c5b3ca96e49341e43d76cbf9f3bb4aacdb42015866264a
2D86R3b6B1GKaD8K3yLfCs9bHDxX6RudmRYu7qSW1wssx67vvKG5d3Q1JCGn4FK166AD17FdD8RK2gcXQ29bzUVa,1970-01-01 07:00:00,3c7886f19a18e7b4bc2da31ecac84db11c16e008f61ebdbf60bc6924aeca8ffe
4ooLLbphhMedeeR2vGe85gTE93tLiaAN6BMhZ1Vxv7WHf3kZzSqYgkgW94zKAML5NGSxmsZp3qTYN1gjMJRyBxux,1970-01-01 07:00:00,be6896a4ae1bf5f1e398508d548b53e32d7db67010293cad229c52b2d0918e61
2pcv6797d83SNyX8EFo1urL3ivtfqwbWyzhqPUDZkVK6ZH6DYBiTZAVTgqhArUnSZCBwqQ7WygjNwo4tE3sqpC9D,1970-01-01 07:00:00,5b14fee41e32466a959b7a35d897d64adedebc9d62070fbb249d3609bdc125f2
2qGQ5aaRXU3rp7FanXf2Vh3oF2hZK3tCCY2ANFD1kXq51beviD99EoBkgcZvqi85Jj8M1W6kymicMVnVJardrFk8,1970-01-01 07:00:00,5ba3aa4cadc541829503d3bba72cb67147ab486d6a4b785d269aca918c0b501f
Vn5ZHLDGL9DbgwAvgBJUNPjR543qqSrAEvQCRXuWysbVE9FMwShtyi88bQHrKpZ7ZGDQaNMrD1dvhUgg9F7B4sJ,1970-01-01 07:00:00,18d0fe3aa56b79c56af6f23419c97bc89f3009ac159b1f4b81a189d2e1e74539
3R997K1SmzeLWFvvN79TgbBGj9eMnb3JksJDkU6qfrH5K2eLZyD7e4YpPdfCimzAufFqzzqDjD8vXXNJAitHhWh7,1970-01-01 07:00:00,78da09ba532a7e0b0527fe2b0d67ac8dbec5eb5e54729e94d98d09fb51dafe65
33AGZReNrTLCrucJ2goTnvRcaGYqXcBWunCFo5e4kwoDK91sS4W69B4Np5ntBdwhGQPnSsUrovqXVw3vE4azuxy8,1970-01-01 07:00:00,65e5829c6562dee2ccc060dcbbc261ff9b4344f9a10cafe2518bf4eb2234051d
4ibfniLuXhfJk3sGH1fKaVox2biGjFFEFKPBoo8S1sJNpBTS1G8bX5WcEgvQDN9Bynj6Z1tXHyK7jGQVSpefhPqC,1970-01-01 07:00:00,b9ec5db36d48bcf7ea3b3b1afe16a8ae6e2c97448981ebb911127231625ee216
5c4RFQR4fPeQm5JBC6bFcFi8qE4GLe7LwJorYTLgfrubs5iY5suanc14mmfX5xspduv6uegsJmaujooqAzFVXMKr,1970-01-01 07:00:00,e64d2e2f49aeaef9f2cb447849e601ef593407c93406fbbb9430e9c428536ff3
Hr8dzjKF9KDX9GgPGdcd3v26WWuVLgCDH8KWK36wB4iZ7Eueq6z7dS3ERWoVyQE9ahiyX7uTLUuPW88TswcErCn,1970-01-01 07:00:00,0e873e875ef1ec973f2d99ec9089b7ae4cc1cf3ba81f70274be4bc72b8a89498
62stLWJ1kuJeMS124ofx7zoZBawhXJb7hLiCCXgFnjrbBQNbCWX2HNS8jHf3VkdkD7CG2ZRNjj1LZ1rBSV9sMBkb,1970-01-01 07:00:00,fbb434baa111b0910492de3ec2005f5f6a3f4a66ca76b101d798a83d97b87510
37XUtxoQGABCwJR6Zo79qYbAqkUxFdQ86s3HBxSR8wrz7yD386yNDjyE9BF4DmpHQXHo53gNcScD1Gzk9m152ocx,1970-01-01 07:00:00,69a94f825ba3bec27080827af40adea9aa9fa974f829009de55a5f3361b5b599
32faUSbGbx3a1RKDyYisaqhyssc7L9eFiaGsKCD6LYEtXu1rPeoY7V1bFV6Aw3g3o4vohcQuN1W6eLyrQg3kKy6E,1970-01-01 07:00:00,65784db0e46920abe4bd1cde01a888717549e51aafe75feb978f050eaca1de2d
3JTJVM6X6hgSUzv9NV23kW12A9WKfX4FopS1dAEB9n57jqTjyzUeATk3cAeVd7Y4msYheg3uTHU2czdU8yffiSoG,1970-01-01 07:00:00,7315d05fe260039d1c68e5a36cde6b58624e43137ca487a17d7e645f18543fb1
51GgGnk8V1crdvJWs7MM9akMmCjTTD16k8bXAFbrCR9xUAtGhud9MQbsmn3JRtYstPAoEgPHXS86yW5tjyoEUnc5,1970-01-01 07:00:00,c84d13f2d6b2ce337e5227b196d590a160aac0bd7b367037d4f157503df19b4a
3YJJfCA89xmppQ9oG1DVwuGWatnaEYJwkRtgysDGkNz5xfkVE5tAjPCdGqzQ4P9t5oTdcSGjDCMqcM23bZsP3s5h,1970-01-01 07:00:00,7f0646297577a168af8fd3c06176647751fe06a74fa8ec2bcb5f69767f368831
