iteration_id,message_hash_hex,r_component_hex
1,5f409d35cca96c4835c0c4bdf5efcc4abdfe4df2e5ee7d57a1281e89976cb805,1d687760474d5afd8a38b65e518c03803d252892699bafc36acf82322f25962f
2,0309fdf026c01c339373fa189e341506157af6f3d848a9bd7027018b4a0ec6d6,46216535b07d8fa10e25af798a5a6ce5bce6797f028b6bf14c2dfcec6604087d
3,b2975f107f865e609ee6603d33d5817505882fff56a64b986195c7a4d18d01f1,a0abad678df708a4b244a9ec612d44f3dd96b48baeeb0980a4c8da44e4837e87
4,c4fe64a7f74256406206fd4e2c1f6c869ddbaa31c069bb036b57b9d20836e181,b28ccf30e9221320c776b67067c119a607ea19db971a8742107ad94817ac7be4
5,12753610f832634c58dfafd99f4d87c6e5c03bb6d47b5e39dc1c1f7d6ed879d3,c0b92386a0e870fe21d9a4056e264253081e03477554581b6347a42731f5e10f
6,9421af5c4a1d8e65bfc402571112e86c11a9ac7c5a7d8c6c2aff46c26600d4b8,d9c34a838470635dff0c43f66b1daccf9434f117d925c7ebf4f37bc1f4a024d6
7,8cfca259a77ce1306de77abf8500f4ca574794211b6837c75432f0fa8e254cd1,fa125f2dfbbbb22ba7f964f07183500d89cda4dca54ac395c17a0d03bd3d93c2
8,d5b7d4dd5604fb3009ae3a39ea31f1b04720a90b6fcb11dff442953c7a531d68,c5c4d7b3b6fab75929a703fa9044f06ec804681b5163ca19824b38d6d7cfc6c0
9,d0e5074bbf6f03b9923039bab57a025840690b9a6916837021dc988980bf0900,420b17df09bed2eb167422a2a424cc3827195708ba025ddfc3db403c84f70764
10,09994df48f5564279983055fd541e3d261b6b677df37483617adf78d3aa1ad9b,dbb943b77982ba878692e6f2194b61941a1ee731d0e27798860956e82c0df8f1
11,7bd419c0dccc232633adfca3a00e1829ea1971accb66bd956fca58139601fcc3,2437a059b949491854530c2acb62b948481536e8f5e479b69a76881a08201600
12,bd6c7e7a429d7a8987f95a8970fcc437b45253a43242cc3e8e1f0ec41cd7afdb,a75017d6b5fd57a331a7496b13467eb52ebf35c30d1008c54471323e5ff27955
13,9f1a044f223dea3caebdd2fe56ddd38bc48f0a1b58e7806a1aec8dcbb53e65b1,86a43373a10928704ed754466fd1d957202bac5171e3ea823e2175f582232857
14,0facb55a92afda0c8d2ee6100579455574b73054856bfaec928b2a361b747c26,a83795681b8e496afc25738bed5447d2316cbc284ecc8558abd3ec276be99db8
15,0c22d0cf5b08ccc91409ad850459f571db74d2626bb9d98e1c7d2b75c5463c8e,af8c77e33e72f1e93670b56b0598534414a01326851bde3ef885a31195da3ea8
16,7743f4c5a7c586aec155267e755cc8a5e79680ec465f0019759a2f1f64b094c2,5db68e98ef2a612668c2de2303ea68928121b4c25ac9908837cf4a331e51bdfa
17,e9e057f1763fa5ebeabd05c2fc75c505f7c84714d682c59702665038fc7f995a,97d01f3a9789c480d53bc698d2b2c24c9d349642d577593237d457b58a47a96a
18,fdeda26c0be2f76ed4fa50c725c4e3feed26cb39d00ec76869b6230647b8852c,fcffd9adc88cf2b4601df7565dd683e3044adafe2e0f74f812db2b823429e0c7
19,0424b251f88a8e19e1034621bd513cf6b5ac73a65bb96ba83c0d7db8515eba24,c8b6c85cc4515377fb3d2137983cbb43fd6bd2f779be007537e722b10e9afb66
20,889f69ecd565cb995402d4dbed0b6f5fe8db8255d6f99cd544efe80416757e9a,3203c1428686af52825592e9925c43bf3591d24d38fa9640192904c9b913c1cc
21,ff14ccc33c8d58111c9bd1b075605f94d50a2d353365a999068285d65e19d5e0,e8c0b49f7624f0e2bfedabdedf423b9295b55744910878ee4e54dc2d905858b5
22,3f1f5062210272b7268624c8315e8bfa11dc5c1c96d9476b466d22970d8c2b6f,ee81b5dbc28620a6e8394134b0caaa21542461f677763331ec979ba9f9f76047
23,d276462872b7a026d04f505aa86e5bb6225cbaad3e64dfa05523fcde5cf98490,c0a7115fab5679525d97d01cada993b0f2465013994113d4ad9008cfe322e697
24,1f219f67f7f432124f80c91e05b318f3ec4a579ca5a06e0c160163835549a37b,9dd3d0ce5c7a4cc9536b407b827bdecdbb2a6556011668d7994212ca10edc579
25,390fd38f715489206b0e51cca994d084b1c94c8d1d81807273161005a679641c,fbcec38fc4b5697c0615ba0ffdb9425c448d56611c19e8032726aaf0bf6b7a58
26,b3cc9194671c06b0aee908fe8295f9f725bb6d7e45a448da63b9c91c8ceffaaa,f812d48c60c00e364bdc23daa683ace237e8e9ecb08c94b58808761b88efa9d6
27,7655ac1926e69443e7672b57a2a73e12e71027781e9f4c3c40d1a748a929277f,e740027112d85f7f43601d787e474511260134529c1e4a44be55c15711526e47
28,4a3dfb60bcf7c84e178c098fc2af159b6fb94f50bc517a1b8094966cbd2df1d9,1ea572cf77e026b41fdaf37dbfa177bf642459ccac7e088a361b94c5ca89f14e
29,52e613d5e2a4de0463607f1bad9ae5ee4d62db9c85100ddace020ad145d45e6d,8fd3b9a7607bf9151aadefcc84b69e1c06d16c332776a677010f321641c760ac
30,8462487df239a34c8c26e83999ce464b0c81414099ab5b71d79e9d8c6b5d35a2,13a9fd8407fe359d6f2da32a93cf36d8ed48fcf8e14e78ba7bdb959e9c718344
31,c02129d93b179f02b3d4d11622eb464664f7cb9f8820e2ddb26ca944b5f21af3,fd7ae13398058f0dbe4b314f604a0b7300c884d578d8e2cfc273ec6b87ae1a9f
32,aa23a079807d278cedaaa92b39abe342e7c166ab3990cc11d46ba3bccec461d7,daa18ce3117316fbda3703a626234ae2bd0c7d2e869624a50a94306f7d03a6d0
33,232f95f90623c30f66461065ffcb5229000b021515fdbc90bb503cb5dd6547ad,c3bda5b55a017b200614c4ceb4bdb6d242b0ece51261fd9bb14f36085efb39b1
34,17f47ab5edb0895b70f645befa7f2621d37ee85d98c95fd870039f88e595c4a7,fc84ea8b726a7a3d84a6ab1bcce405777ce2bc83d80da2f19c4a0802781de8e9
35,fc5cfebbaef59cbd3fb39a1dd900329cfc1c81659cf5a2cff2c79ff05adfcd37,60312bf6060efca13b49523d97b1bb46c3c5c9215492bb76b22d98dbdc748bb7
36,6f38ead6aa940a8ae86b9f228e2717bf65d69e921db35b10d8cb771a0eec9700,a7e401d1f245c789cc99aa13d11a114e308d10f416a2792e19de6e924b7cbda3
37,f35cfcae1d00d91359c715397a913b52df0dc3d163b872ed712005d8e24f02a3,593aebcbb1d0345892a54a67c855ba5f8864c0651ccf6c37020436b049e18f68
38,03c7f777a8e722f05c98d107aed4f9f075192ab7446df3a963a4069b7e6ca5b2,e5dc7775150e92c3e58e239b225a156ac8193c7ed0993b73777fdcc25b14b331
39,a58bd03c7d320a3178bba93d91745d096da71a6b8f747a7a664464842c9f01ab,ca83fabc056a328920cf71e17689fe12c6514365ff3073bf8f9256f68cb7fe61
40,2769eb676cabb1e4481dca26ba0cd6c6ae197c03cbad85540647d327681abbf2,f0dc8547771cbe99820ff31f48207ec1adc89b35ba6b6f070823c5c0a8304908
41,3fe02c6b3175db2df4aa548f136b1083d443411f7433a8112cecd91f730226f1,c5fd39f84d60c601b8eacc5bb61a4de7f1d8c60540a98609fb546414e4fee419
42,51c40af87f9aca798d4d705258ea86917f4392a82a83cc7cf2137f44bcf5199f,63f33a267323c90b78745de0876d5c4bd44bf4822aa9c591c3ae0f62588d42ee
43,e15c988cbd776b815847511d15c2349377605fbd2ef6fc3f55db43515f1b028e,b243005be202ff41aae2b3e8fa92e8afe23ff3442c80655c3562a5647f28a50a
44,50d7bb1d6ede4bd371dcec605c7e7acc45faa2b1579edf6b34257437f5e738f0,e0e4869d9a8849557babc55c1e16bbf7b20a6d673170d447e174422e2882b99a
45,4e06e128d5fe13891e114a916c5c38dd9a792bcb7b23098f8466f7958032d560,ef88faeb7e3894eab6c103c3b3b554a63238894b3195b79f75949ee1b4cbfd54
46,49bd87ded558285aa4dc14fd8d04c7ada4dff45d4a2e460a149c3e4e68fa4639,51a6f7e2fa38b328c8fd5c7c035e58a1e612f76e8501cc564557a629959c75f3
47,d6a2bba695714501a443616aad7a00c9a1d2cea0df283c04aa85c00b9e8ebfcd,e2e1c136fe9c5bf819c0c8fb7670207246e882392769b3c3e998d74828fb5f01
48,955c28d8bd45fe0947a2524fba974473648c811a77766b99b66bca3299932731,0826cdfff70c942d2d1d407c4154a17d2a9a42a2ecc220bf76a665aa94b84258
49,7c689869a381667f2303abfb634b13ed52a68ddcfde59e1b2e05dcd3808c41e8,f10b97f518f4015b07831d2b2238d987acca85892bf93957a97f37f3c122f2d1
50,d848196554a7de115e4a631755c52caf9e146a0755ab627965c4efc8261201fb,fbfc94ba3e5264574425f0ad9a81c2cc5b94f714f58bc87ea1565c337e452e02
51,4f15a6352f0deb5312f069c7801e462f3ccf8ac0bc6618b13b0f069161fcd5ee,f5179b570e304797e0564fef914859d8de86fe890904ed35208660723510d79d
52,c191b17592f8d0e0121cfb25443732c83cd8f2e88180fb3bb075e32d90060e48,b1c646e5d751f23bb2f0d51bc366e39bad0925dbefaa5cab796011bfcca74c27
53,17d33ca13f0ce5ab5900922923e1dceed2755608a417d58eee26220922885775,f473daaab83ff3d7f8d2815e15138bba926ff159fc14f4f9a862441c6ba67d92
54,68c4740c9412a128a2a0b6bf928f86e886a4ffb2aff85aed16fdc831dc5c1261,9db6a1c78400c9f213326f610e2a392e4b70c2ff6fcb4ee6a58af8704f5c66ab
