tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,Fn68NZzCCgZKtYmnAYbkL6w5NNx3TgjW91dGkLA3hsDK,4.25,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,TOKEN_TRANSFER
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,Fn68NZzCCgZKtYmnAYbkL6w5NNx3TgjW91dGkLA3hsDK,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,0.026050693,So11111111111111111111111111111111111111112,TOKEN_TRANSFER
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,DxrjFAYTJcQ5Hoq7Z6bTwntQBmKri7XhbbbzSzSsrK1b,R4rNJHaffSUotNmqSKNEfDcJE8A7zJUkaoM5Jkd7cYX,0.75,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,TOKEN_TRANSFER
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,DxrjFAYTJcQ5Hoq7Z6bTwntQBmKri7XhbbbzSzSsrK1b,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,4.25,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,TOKEN_TRANSFER
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,0.026050693,So11111111111111111111111111111111111111112,TOKEN_TRANSFER
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,DxrjFAYTJcQ5Hoq7Z6bTwntQBmKri7XhbbbzSzSsrK1b,39602.515361989,FhU5H81LQ6sidDSufwNxUiTZ6scRHbsmNtBHFXtLBAGS,TOKEN_TRANSFER
Epnh3MezFczpD98rATMTjEz3L6XMkN7Mri8wieifd1P15PocpqXpBKkbxqPxu8TZ7aFLXBwVC4zgdtHf7B6WNLo,2025-08-02T15:14:33Z,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,4opggJgEkCvKwLY2VjPotwBLJYQRpHZSA4MwvAxd4uk7,0.00203928,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
5dKgmPTuZ4ifXZxX4WbfiQHHxXpAMBN2ghzs7h8RmUEFCivRcLLVaykW8vZ9CNPK85WxUCaFShLhXX9YcCv6KAnM,2025-08-02T15:14:24Z,DxrjFAYTJcQ5Hoq7Z6bTwntQBmKri7XhbbbzSzSsrK1b,2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,82744.822661804,GAkYTCw6Kt2dsyifBbGycrT8YoMCVRR23UrsNDqGBAGS,TOKEN_TRANSFER
5dKgmPTuZ4ifXZxX4WbfiQHHxXpAMBN2ghzs7h8RmUEFCivRcLLVaykW8vZ9CNPK85WxUCaFShLhXX9YcCv6KAnM,2025-08-02T15:14:24Z,2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,0.043008777,So11111111111111111111111111111111111111112,TOKEN_TRANSFER
5dKgmPTuZ4ifXZxX4WbfiQHHxXpAMBN2ghzs7h8RmUEFCivRcLLVaykW8vZ9CNPK85WxUCaFShLhXX9YcCv6KAnM,2025-08-02T15:14:24Z,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,7.010069,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,TOKEN_TRANSFER
