tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,0.2,So11111111111111111111111111111111111111112,TOKEN_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,106922.22191095,D3jYB29ZjSRwry6c266VNoeVkQWH8fqSsMCy2F8xBAGS,TOKEN_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,1069.222219109,D3jYB29ZjSRwry6c266VNoeVkQWH8fqSsMCy2F8xBAGS,TOKEN_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,E1DYFs92UwiogeQqQPx7VpL62JX3n691q7Gz84dP7yck,0.2,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,Vn7tfMvrvrymGYMnxhj1DV16Sz2R9YXmaXF3hiSAHuC,0.001,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,E1DYFs92UwiogeQqQPx7VpL62JX3n691q7Gz84dP7yck,0.00203928,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,Bcd76Yxb1NVShaMwzYdDskHjyCrTc6w52jT5TzDajAnk,0.00203928,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,6ZbzZmTdAXg1x5E1rNTZzMQBFkhmbYJeNBATJJmzq5y4,0.00105792,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2hzQj3bZBtiWThMycF4eTuTWynsZYuGc4ehhE8peFcfU4YfoMuyJoMgP1yx2wra8B3cv5g8LCxPcRNK7F9HfCRjF,2025-08-02T14:52:26Z,E1DYFs92UwiogeQqQPx7VpL62JX3n691q7Gz84dP7yck,6XsfqhtQkMLAUCtYqfgoXAjqyBd7TiSmmFFD8h6dzPhp,0.00203928,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
4py7Kqhra6SCr6q5Rp8u6feaoeivNF6i147HZ4iu2ZxtdHGiCsBXc3LoAL1rtpufQwV4pJJpDgFQxxrAdwrVPe3J,2025-08-02T14:52:23Z,A6NVgehV65zuas3oYZyksrwKYKCjKHU88Hnh8dPhrjce,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,0.015,So11111111111111111111111111111111111111112,TOKEN_TRANSFER
