tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type,timestamp_normalized,source_valid,dest_valid,is_outlier,hour,date,tx_hash_short
2tWgDBmjHxh4MrdYphCATVueDMiiV5qYAW5R7T9QVufHoVJY6JVbrfb6QZ5PcDrU6Eg365wm8ksigmBjEo4Jrafu,2025-07-23T19:32:27Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.0914,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 19:32:27+00:00,True,True,False,19,2025-07-23,2tWgDBmj...
5KrfgmiuD5sNaiM447MRVJGQxXfgNYKdFaPsFrqGXWKReXtrUk3Fu8svTM7xbEadZxAuiEBsg4CreH8N7TYW9MnT,2025-07-23T19:27:59Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.1835,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 19:27:59+00:00,True,True,False,19,2025-07-23,5Krfgmiu...
eURLRRzHdydF9FGEH1aqM18GgMEgmJA6J6T8qJooYjpowhbL1zRyDxbozChJY4TwizBdEFgH1bJw2b6KRUgwsnJ,2025-07-23T13:45:02Z,6HMoJqFfifATfSqD7YY3YXA3CZxwjfCwpExGEvQ5bekY,4uEtBfEsPdNZz3BbbezKHXQ3Qej1nhKqRTfXtGsAiJfD,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 13:45:02+00:00,True,True,False,13,2025-07-23,eURLRRzH...
3nGQ1NNDrER8AoKMhMpiJfgkGkL2hte9BDjKFiuri6YerY5FRz1EztALBUaLZjv43xFHikQnf1STooPncGF7Sztq,2025-07-23T13:45:00Z,GtiwjVEQwbaXVkDn7EGteqHwT1KNVxD5XhKMzfgaEKuw,43VsQ2GhkMXh9yRRvzjqvPf26VL1LWZikTsLgiNpSzvC,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 13:45:00+00:00,True,True,False,13,2025-07-23,3nGQ1NND...
22n4513grzzFoducGnM9qwbUz1jeKvm8NjGKDGSJpB2DkmpGkPiNMchd8na5tM7vbXYqKBrLWcsHiHsdxqDrHxHY,2025-07-23T13:32:08Z,BES2S8dUqfvcrQtDX3fsoyveJtDAGCMjhp19XuPxZYvK,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,48521.499252,AY6fMfWNSPqKgRsXMAovX2sopEBqCahZh1WMKv2uc2BF,TOKEN_TRANSFER,2025-07-23 13:32:08+00:00,True,True,True,13,2025-07-23,22n4513g...
3BmjWT8xwLisNK9x6m5LwisARRNNQ4XQYVttDuVSxVP78ptGBmbt4KuawXXfyYUairG3yeSGzRagbQGo1i4r5f9P,2025-07-23T13:25:39Z,BES2S8dUqfvcrQtDX3fsoyveJtDAGCMjhp19XuPxZYvK,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,102237.929368,AY6fMfWNSPqKgRsXMAovX2sopEBqCahZh1WMKv2uc2BF,TOKEN_TRANSFER,2025-07-23 13:25:39+00:00,True,True,True,13,2025-07-23,3BmjWT8x...
8vdgLDMK7WMy6uFxsG1u62vrZTesx1KPEYd4MPhydFgutQTqV6br5cySoGJtecQ4L5TLCV8Nf3VEwCcWjQCmqLC,2025-07-23T13:24:58Z,CMHwAwyTT2diZh5DcyqTafJNaQ9gGeozAU2HmV58e1oq,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,57730.021644,sBC23DijjjqwRoTEkdmb4UH1ZFdNyjKMEMFfWtLAZD5,TOKEN_TRANSFER,2025-07-23 13:24:58+00:00,True,True,True,13,2025-07-23,8vdgLDMK...
5VUEuAP73aw3c3QG4FoeVrvWpKSBEMksJxLz3F3mCSpjbqFUGGMZbsEFdQ8sSxostXbUkQS97a6sCHdYxFeLK24W,2025-07-23T13:08:56Z,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,0.15,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 13:08:56+00:00,True,True,False,13,2025-07-23,5VUEuAP7...
2zLUHB2GBYCZnxhxGWyfnoBMb3Jpz6renD48uTKRedC5j4iyUeP3yJLajZZKus2nLfazkEhhHbW5KHgCkRj3iQRS,2025-07-23T07:46:15Z,6HMoJqFfifATfSqD7YY3YXA3CZxwjfCwpExGEvQ5bekY,2PvbiHwbj6kcVwwwM6y6ApVij587LmZ5xmQReh9aGDtc,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 07:46:15+00:00,True,True,False,7,2025-07-23,2zLUHB2G...
5GgyfmxKyvp7DazYQesSCTQWf6qLg9fHWUKkawKGYuFW5cm2XtLK1S1D6gMHKDu5J2QJriXQta72Sth1MP5KSfau,2025-07-23T07:32:05Z,FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,FHVpLGCLSddTyhuYYmk5UQidYDfRrdA3zmUPb8WGCbZG,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 07:32:05+00:00,True,True,False,7,2025-07-23,5GgyfmxK...
4d4iHRvsvjCTeqTFwYnNJHCszefCwiMcEVJqUXcDKZqAFxGNpGyLBEPVESMUyVoh8iTBK3mx8mU5pAFaGocbYSWP,2025-07-23T07:32:05Z,FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,FHVpLGCLSddTyhuYYmk5UQidYDfRrdA3zmUPb8WGCbZG,1e-09,So11111111111111111111111111111111111111112,NATIVE_TRANSFER,2025-07-23 07:32:05+00:00,True,True,False,7,2025-07-23,4d4iHRvs...
