tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type
jmvPRSWfRbXewPDtE4FzKHRRDX9mhgUVyyYb3XRy1n2dMzxXAVB6kMAigeDufMMsHQFYNRS1yCLMvPhiMFnUxm9,2025-01-23T00:45:59Z,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,CaNCU6LiZUKc7Su3avu5jDbdDXdKeAmv625c4M11111,6.023319644,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
PJEHvHWcNGKYkN1ha8FnfTfGtdmtQDf4mi2zg477sRtQSC5XoaPtFz3qAx8fNyGgusPS138PQezs3xELQHk914o,2025-01-23T00:45:13Z,UAbvFP3LaFykc7gTsh9GnHBBEgAVX8V37gMai8CD1tu,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,1e-05,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
PJEHvHWcNGKYkN1ha8FnfTfGtdmtQDf4mi2zg477sRtQSC5XoaPtFz3qAx8fNyGgusPS138PQezs3xELQHk914o,2025-01-23T00:45:13Z,UAbvFP3LaFykc7gTsh9GnHBBEgAVX8V37gMai8CD1tu,4UqZhyrQgBEnTbD24N1LuPmzLasH8acdjkEEd4XpvDVS,0.0009346,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
58dSNQTvZF4PmHGQQBrc7EPyXhjXEpUsNv4NGV78M7YzxSfKWH4PXbgNpoLdP8HWvffEsgdXhncoBiRaVNTj2bgf,2025-01-23T00:45:00Z,UAbvL1fk1ZZMTqcuSMe11TCeAZFjML4A3Urb9C11111,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,5.966825756,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
4jRPDXEwbEL71SesG9tDGSKCPHaA2qGoRu7rKyCjNex8f4QJ7r1hv2UBFnjSYoxxh9cfFju7rkXJvZYcqutY6dsL,2024-07-17T11:46:37Z,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,cMHG3ivVkVmkUcX6MMsWetEUeWcCw78QzSaqzW11111,0.240265205,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
3f1tdk1oiracniZFJbP1o7rcrW3shYtjmFLTaS2xearVjegPZvVxTsY1mx5Ywr5LpPrvpK6wE3qMg4S5ewcBG6C3,2024-05-21T07:57:22Z,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,7hFkBgyXxc7afxwhmEzZAU3wKj4qbjBjxUvLwagnPNH8,188,FYUjeMAFjbTzdMG91RSW5P4HT2sT7qzJQgDPiPG9ez9o,TOKEN_TRANSFER
2UaxYDxdPZ6tbaYAv4ugUDrd4TqaaaxuyktGQfzJw8fh7vYW6BNMgSifGcsHW7fJcEf93z7dTfG1RRBSAjhBefrj,2024-05-21T07:56:43Z,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,DttWaMuVvTiduZRnguLF7jNxTgiMBZ1hyAumKUiL2KRL,3e-05,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
FWeVbBP4AgsXVnaBbAcVWeMFtCRVirju6gQUF1pV6p5Nk14iaU6qqvpV459M7nx45zzPjFoT6MPun5nbJBQTp2v,2024-05-21T07:56:43Z,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,7UV16aEcn94HxvrJ29xBPdQFrknzsAnRPohK13A6z5t1,0.000163142,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
FWeVbBP4AgsXVnaBbAcVWeMFtCRVirju6gQUF1pV6p5Nk14iaU6qqvpV459M7nx45zzPjFoT6MPun5nbJBQTp2v,2024-05-21T07:56:43Z,EuxZXbKuomWUPz4E6DjTH1iMBJ17YjArZAYikuEbLAnH,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,0.00203928,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
66heK9Gyo9Vh3PbNpXY2qr938BUdHZ71uCgs97VeCqwjmuJwZ8rnjp1kFHSGxnPYYWkJimMDRCTHbcpxRosy6EF1,2024-05-21T07:56:43Z,Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,7UV16aEcn94HxvrJ29xBPdQFrknzsAnRPohK13A6z5t1,0.000489427,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
