tx_hash,timestamp_utc,source_address,destination_address,amount,token_mint_address,transaction_type
2uXDSeGLQ5LsbFPr9KzPbqxKo3GrBSE7NoUYg39tKRR5VTsqpfSsUkCGNnBme8jnZ5MyJCkiBmQjbq3v4wtcfcAP,2024-11-08T13:56:03Z,ndjGh8iMeCRUfAag1nTB8PbFaimDXYVB1ZpPdA6Viyh,8naM4tDrDE2J5np6wwQ7YeALxWXC1zbRqZ7ui4z7Vat1,0.03,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
roqxEBgpVThDZ8YMhc3zAPyseaUxpazdB5WabV8BBvGpsxc8LGMeknkD48WgNYvAQkmunEQJ8gwKfcb7zP2AVjR,2024-11-08T00:48:07Z,ur4ud1HWUX9WRtGWMKwbo9EBPPjShcqTjdxEZWwjg3w,ndjGbwtssy9ZQAozRK8W16fFHsQqNi6iv8eD23J8T9h,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
roqxEBgpVThDZ8YMhc3zAPyseaUxpazdB5WabV8BBvGpsxc8LGMeknkD48WgNYvAQkmunEQJ8gwKfcb7zP2AVjR,2024-11-08T00:48:07Z,ndjGbwtssy9ZQAozRK8W16fFHsQqNi6iv8eD23J8T9h,HmqKVJtEer98huzx762VY9ua8RpCYGUyMZn5TdJGW4Fv,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
roqxEBgpVThDZ8YMhc3zAPyseaUxpazdB5WabV8BBvGpsxc8LGMeknkD48WgNYvAQkmunEQJ8gwKfcb7zP2AVjR,2024-11-08T00:48:07Z,ur4ud1HWUX9WRtGWMKwbo9EBPPjShcqTjdxEZWwjg3w,HmqKJyun4fdBi8VYydrm4fuGbgEbNWyfgv9W1HZ6D4Av,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
roqxEBgpVThDZ8YMhc3zAPyseaUxpazdB5WabV8BBvGpsxc8LGMeknkD48WgNYvAQkmunEQJ8gwKfcb7zP2AVjR,2024-11-08T00:48:07Z,HmqKJyun4fdBi8VYydrm4fuGbgEbNWyfgv9W1HZ6D4Av,ndjGh8iMeCRUfAag1nTB8PbFaimDXYVB1ZpPdA6Viyh,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
5FmAdQiRfrk3gaEXiwaWgAn9Nh5fpkLrSFX5nm9kcsXUVjK91BUzjhuPrmk1jz4g2ZcpC1omV94Bv8TrL9FFN1ez,2024-11-08T00:45:41Z,ur4ud1HWUX9WRtGWMKwbo9EBPPjShcqTjdxEZWwjg3w,ndjGbwtssy9ZQAozRK8W16fFHsQqNi6iv8eD23J8T9h,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
5FmAdQiRfrk3gaEXiwaWgAn9Nh5fpkLrSFX5nm9kcsXUVjK91BUzjhuPrmk1jz4g2ZcpC1omV94Bv8TrL9FFN1ez,2024-11-08T00:45:41Z,ndjGbwtssy9ZQAozRK8W16fFHsQqNi6iv8eD23J8T9h,HmqKVJtEer98huzx762VY9ua8RpCYGUyMZn5TdJGW4Fv,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
5FmAdQiRfrk3gaEXiwaWgAn9Nh5fpkLrSFX5nm9kcsXUVjK91BUzjhuPrmk1jz4g2ZcpC1omV94Bv8TrL9FFN1ez,2024-11-08T00:45:41Z,ur4ud1HWUX9WRtGWMKwbo9EBPPjShcqTjdxEZWwjg3w,HmqKJyun4fdBi8VYydrm4fuGbgEbNWyfgv9W1HZ6D4Av,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
5FmAdQiRfrk3gaEXiwaWgAn9Nh5fpkLrSFX5nm9kcsXUVjK91BUzjhuPrmk1jz4g2ZcpC1omV94Bv8TrL9FFN1ez,2024-11-08T00:45:41Z,HmqKJyun4fdBi8VYydrm4fuGbgEbNWyfgv9W1HZ6D4Av,ndjGh8iMeCRUfAag1nTB8PbFaimDXYVB1ZpPdA6Viyh,1e-06,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,DHWTBpcSkBGmWx1zS6z819W98VSQpA3azGeX4nXVPg7c,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,5XbaxA5zxT2qazow51xRQsaQW8dR6kFPCB64btZr79hz,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,286dsGdLVtYWXX3Pg1X4tTjeiYSnFyrteqQL2SC2hWZf,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,3Z4gNvGJCC7Q9WE9pjiDAUwuyQpyJox13TpRoc2Lr4zN,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,7R8SBAeeT82VYMTTgVQCn6tuchT8AmDyE5N5DnUx9Mig,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,BHW8HtMf26Yi5Ec85tWAwdC28bxrbrX6VjKMJYbxUQbc,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,8tChUVvehjvkuVZTWmvSnS3frZon5U4yP98pjDheTezi,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
2bj8zgGoAhEfWCMT1z3Pazf7ssQ6boqbattRMqDpXE8WjShqWV9uwoLMNDKeCiuPCQufiGfJDNcMAY1niUgGd8J3,2024-11-08T00:45:33Z,Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,GMCWDudNsGhNpeMERmFzNJFRPCQd4KeyBhEPK2uQu6cr,1e-07,So11111111111111111111111111111111111111112,NATIVE_TRANSFER
